"id","composer","composition","movement","ensemble","source","transcriber","catalog_name","seconds"
1727,"Schubert","Piano Quintet in A major","2. Andante","Piano Quintet","European Archive","http://tirolmusic.blogspot.com/","OP114",447
1728,"Schubert","Piano Quintet in A major","3. Scherzo: Presto","Piano Quintet","European Archive","http://tirolmusic.blogspot.com/","OP114",251
1729,"Schubert","Piano Quintet in A major","4. Andantino - Allegretto","Piano Quintet","European Archive","http://tirolmusic.blogspot.com/","OP114",444
1730,"Schubert","Piano Quintet in A major","5. Allegro giusto","Piano Quintet","European Archive","http://tirolmusic.blogspot.com/","OP114",368
1733,"Schubert","Piano Sonata in A major","2. Andantino","Solo Piano","Museopen","Segundo G. Yogore","D959",546
1734,"Schubert","Piano Sonata in A major","3. Scherzo. Allegro vivace","Solo Piano","Museopen","Segundo G. Yogore","D959",325
1735,"Schubert","Piano Sonata in A major","4. Rondo. Allegretto","Solo Piano","Museopen","Segundo G. Yogore","D959",714
1739,"Schubert","Piano Trio in B-flat major","4. Rondo. Allegro vivace","Piano Trio","European Archive","harfesoft.de","OP99",490
1742,"Schubert","String Quintet in C major","2. Adagio","Viola Quintet","European Archive","harfesoft.de","OP163",924
1749,"Schubert","Piano Sonata in A minor","1. Moderato","Solo Piano","Museopen","Segundo G. Yogore","D845",696
1750,"Schubert","Piano Sonata in A minor","2. Andante poco mosso","Solo Piano","Museopen","Segundo G. Yogore","D845",784
1751,"Schubert","Piano Sonata in A minor","3. Scherzo. Allegro vivace - Trio. Un poco piu lento","Solo Piano","Museopen","Segundo G. Yogore","D845",475
1752,"Schubert","Piano Sonata in A minor","4. Rondo. Allegro vivace","Solo Piano","Museopen","Segundo G. Yogore","D845",362
1755,"Schubert","Piano Sonata in A minor","2. Andante","Solo Piano","Museopen","Segundo G. Yogore","D784",229
1756,"Schubert","Piano Sonata in A minor","3. Allegro vivace","Solo Piano","Museopen","Segundo G. Yogore","D784",371
1757,"Schubert","Piano Sonata in C minor","1. Allegro","Solo Piano","Museopen","Martin Charles Bucknall","D958",710
1758,"Schubert","Piano Sonata in C minor","2. Adagio","Solo Piano","Museopen","Martin Charles Bucknall","D958",468
1759,"Schubert","Piano Sonata in C minor","3. Menuetto and Trio","Solo Piano","Museopen","Martin Charles Bucknall","D958",194
1760,"Schubert","Piano Sonata in C minor","4. Allegro","Solo Piano","Museopen","Martin Charles Bucknall","D958",655
1763,"Schubert","4 Impromptus","1. Impromptu in F minor","Solo Piano","Charlie Albright","Jeruen Espino Dery","OP142",600
1764,"Schubert","4 Impromptus","2. Impromptu in A-flat major","Solo Piano","Charlie Albright","Jeruen Espino Dery","OP142",438
1765,"Schubert","4 Impromptus","3. Impromptu in B-flat major","Solo Piano","Charlie Albright","Jeruen Espino Dery","OP142",676
1766,"Schubert","4 Impromptus","4. Impromptu in F minor","Solo Piano","Charlie Albright","Jeruen Espino Dery","OP142",427
1768,"Schubert","Piano Sonata in A major","2. Andante","Solo Piano","Museopen","Segundo G. Yogore","D664",290
1771,"Schubert","Piano Sonata in D-flat major","1. Allegro moderato","Solo Piano","Museopen","Segundo G. Yogore","D568",647
1772,"Schubert","Piano Sonata in D-flat major","2. Andante molto","Solo Piano","Museopen","Segundo G. Yogore","D568",417
1773,"Schubert","Piano Sonata in D-flat major","3. Menuetto. Allegretto","Solo Piano","Museopen","Segundo G. Yogore","D568",307
1775,"Schubert","Piano Sonata in D major","1. Allegro vivace","Solo Piano","Museopen","Segundo G. Yogore","D850",578
1776,"Schubert","Piano Sonata in D major","2. Con moto","Solo Piano","Museopen","Segundo G. Yogore","D850",726
1777,"Schubert","Piano Sonata in D major","3. Scherzo. Allegro vivace","Solo Piano","Museopen","Segundo G. Yogore","D850",629
1788,"Mozart","String Quartet No 19 in C major","1. Adagio - Allegro","String Quartet","Museopen","Gunter R. Findenegg","K465",513
1789,"Mozart","String Quartet No 19 in C major","2. Andante cantabile","String Quartet","Museopen","Gunter R. Findenegg","K465",461
1790,"Mozart","String Quartet No 19 in C major","3. Menuetto. Allegro","String Quartet","Museopen","Gunter R. Findenegg","K465",323
1791,"Mozart","String Quartet No 19 in C major","4. Allegro molto","String Quartet","Museopen","Gunter R. Findenegg","K465",351
1792,"Mozart","String Quartet No 19 in C major","1. Adagio - Allegro","String Quartet","European Archive","Gunter R. Findenegg","K465",472
1793,"Mozart","String Quartet No 19 in C major","2. Andante cantabile","String Quartet","European Archive","Gunter R. Findenegg","K465",504
1805,"Mozart","String Quartet No 14 in G major","1. Allegro vivace assai","String Quartet","European Archive","Gunter R. Findenegg","K387",356
1807,"Mozart","String Quartet No 14 in G major","3. Andante cantabile","String Quartet","European Archive","Gunter R. Findenegg","K387",444
1811,"Mozart","Clarinet Quintet in A major","2. Larghetto","Clarinet Quintet","William McColl","Reinier B. Bakels","K581",489
1812,"Mozart","Clarinet Quintet in A major","3. Menuetto","Clarinet Quintet","William McColl","Reinier B. Bakels","K581",466
1813,"Mozart","Clarinet Quintet in A major","4. Allegretto con variazioni","Clarinet Quintet","William McColl","Reinier B. Bakels","K581",591
1817,"Mozart","Serenade in E-flat major","2. Menuetto","Pairs Clarinet-Horn-Bassoon","Soni Ventorum Wind Quintet","Oliver Seely","K375",250
1818,"Mozart","Serenade in E-flat major","3. Adagio","Pairs Clarinet-Horn-Bassoon","Soni Ventorum Wind Quintet","Oliver Seely","K375",407
1819,"Mozart","Serenade in E-flat major","4. Menuetto","Pairs Clarinet-Horn-Bassoon","Soni Ventorum Wind Quintet","Oliver Seely","K375",177
1822,"Mozart","String Quartet No 15 in D minor","1. Allegro moderato","String Quartet","Museopen","Gunter R. Findenegg","K421",460
1824,"Mozart","String Quartet No 15 in D minor","3. Menuetto and Trio. Allegretto","String Quartet","Museopen","Gunter R. Findenegg","K421",252
1828,"Mozart","Piano Trio No 4 in E major","2. Andante grazioso","Piano Trio","European Archive","Michael Iscenko","K542",265
1829,"Mozart","Piano Trio No 4 in E major","3. Allegro","Piano Trio","European Archive","Michael Iscenko","K542",421
1835,"Mozart","String Quartet No 23 in F major","3. Menuetto. Allegretto","String Quartet","European Archive","Gunter R. Findenegg","K590",236
1859,"Mozart","String Quartet No 18 in A major","2. Menuetto and Trio","String Quartet","European Archive","Gunter R. Findenegg","K464",392
1872,"Mozart","Piano Trio No 3 in B-flat major","2. Larghetto","Piano Trio","European Archive","Michael Iscenko","K502",509
1873,"Mozart","Piano Trio No 3 in B-flat major","3. Allegretto","Piano Trio","European Archive","Michael Iscenko","K502",366
1876,"Mozart","Piano Trio No2 in G major","2. Andante","Piano Trio","European Archive","Michael Iscenko","K496",356
1893,"Mozart","Piano Trio No 6 in G major","3. Allegretto","Piano Trio","European Archive","Michael Iscenko","K564",325
1916,"Dvorak","String Quartet No 10 in E-flat major","1. Allegro ma non troppo","String Quartet","Museopen","Benjamin R. Tubb","OP51",675
1918,"Dvorak","String Quartet No 10 in E-flat major","3. Romanza","String Quartet","Museopen","Benjamin R. Tubb","OP51",367
1919,"Dvorak","String Quartet No 10 in E-flat major","4. Finale","String Quartet","Museopen","Benjamin R. Tubb","OP51",434
1922,"Dvorak","String Quartet No 10 in E-flat major","3. Romanza","String Quartet","European Archive","Benjamin R. Tubb","OP51",402
1923,"Dvorak","String Quartet No 10 in E-flat major","4. Finale","String Quartet","European Archive","Benjamin R. Tubb","OP51",393
1931,"Dvorak","String Quartet No 12 in F major","2. Lento","String Quartet","Museopen","Masahiro Ishii","OP96",471
1932,"Dvorak","String Quartet No 12 in F major","3. Molto vivace","String Quartet","Museopen","Masahiro Ishii","OP96",250
1933,"Dvorak","String Quartet No 12 in F major","4. Finale: vivace ma non troppo","String Quartet","Museopen","Masahiro Ishii","OP96",351
2075,"Cambini","Wind Quintet No 1 in B-flat Major","1. Allegro maestoso","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN1",329
2076,"Cambini","Wind Quintet No 1 in B-flat Major","2. Larghetto cantabile","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN1",247
2077,"Cambini","Wind Quintet No 1 in B-flat Major","3. Rondo Allegretto grazioso","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN1",250
2078,"Cambini","Wind Quintet No 2 in D Minor","1. Allegro espressivo","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN2",355
2079,"Cambini","Wind Quintet No 2 in D Minor","2. Larghetto sostenuto ma con moto","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN2",278
2080,"Cambini","Wind Quintet No 2 in D Minor","3. Presto ma non tanto","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN2",233
2081,"Cambini","Wind Quintet No 3 in F Major","1. Allegro maestoso","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN3",299
2082,"Cambini","Wind Quintet No 3 in F Major","2. Larghetto sostenuto","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN3",341
2083,"Cambini","Wind Quintet No 3 in F Major","3. Rondo Allegro con brio","Wind Quintet","Soni Ventorum Wind Quintet","Oliver Seely","JOHN3",245
2104,"Haydn","Quartet No 53 in D major","1. Allegro moderato","String Quartet","Museopen","Andrew D. Lawson","OP64NO5",371
2105,"Haydn","Quartet No 53 in D major","2. Adagio - Cantabile","String Quartet","Museopen","Andrew D. Lawson","OP64NO5",291
2106,"Haydn","Quartet No 53 in D major","3. Menuetto: Allegretto","String Quartet","Museopen","Andrew D. Lawson","OP64NO5",226
2112,"Brahms","Cello Sonata No 1 in E minor","1. Allegro non troppo","Accompanied Cello","Stefano Ligoratti","Eric L. Schissel","OP38",897
2113,"Brahms","Cello Sonata No 1 in E minor","2. Allegretto quasi Menuetto","Accompanied Cello","Stefano Ligoratti","Eric L. Schissel","OP38",352
2114,"Brahms","Cello Sonata No 1 in E minor","3. Allegro","Accompanied Cello","Stefano Ligoratti","Eric L. Schissel","OP38",403
2116,"Brahms","Clarinet Sonata No 1 in F minor","1. Allegro appassionato","Accompanied Clarinet","Ben Redwine","clarinetinstitute","OP120NO1",410
2117,"Brahms","Clarinet Sonata No 1 in F minor","2. Andante un poco Adagio","Accompanied Clarinet","Ben Redwine","clarinetinstitute","OP120NO1",266
2118,"Brahms","Clarinet Sonata No 1 in F minor","3. Allegretto grazioso","Accompanied Clarinet","Ben Redwine","clarinetinstitute","OP120NO1",232
2119,"Brahms","Clarinet Sonata No 1 in F minor","4. Vivace","Accompanied Clarinet","Ben Redwine","clarinetinstitute","OP120NO1",294
2127,"Brahms","Serenade No 1 in D Major","2. Scherzo. Allegro non troppo","Wind and Strings Octet","European Archive","Oliver Seely","OP11",518
2131,"Brahms","Serenade No 1 in D Major","6. Rondo. Allegro","Wind and Strings Octet","European Archive","Oliver Seely","OP11",274
2138,"Brahms","String Quartet in C minor","2. Romanze: Poco adagio","String Quartet","European Archive","harfesoft.de","OP51NO1",429
2140,"Brahms","String Quartet in C minor","4. Allegro","String Quartet","European Archive","harfesoft.de","OP51NO1",381
2147,"Brahms","String Sextet No 2 in G major","4. Poco allegro","String Sextet","European Archive","harfesoft.de","OP36",501
2148,"Brahms","Piano Quartet No 1 in G minor","1. Allegro","Piano Quartet","Roxana Pavel Goldstein","harfesoft.de","OP25",822
2149,"Brahms","Piano Quartet No 1 in G minor","2. Intermezzo: Allegro ma non troppo","Piano Quartet","Roxana Pavel Goldstein","harfesoft.de","OP25",476
2150,"Brahms","Piano Quartet No 1 in G minor","3. Andante con moto","Piano Quartet","Roxana Pavel Goldstein","harfesoft.de","OP25",599
2151,"Brahms","Piano Quartet No 1 in G minor","4. Rondo alla Zingarese: Presto","Piano Quartet","Roxana Pavel Goldstein","harfesoft.de","OP25",533
2154,"Brahms","String Sextet No 1 in B-flat major","1. Allegro ma non troppo","String Sextet","Carl Banner","harfesoft.de","OP18",894
2155,"Brahms","String Sextet No 1 in B-flat major","2. Andante, ma moderato","String Sextet","Carl Banner","harfesoft.de","OP18",606
2156,"Brahms","String Sextet No 1 in B-flat major","3. Scherzo. Allegro molto","String Sextet","Carl Banner","harfesoft.de","OP18",192
2157,"Brahms","String Sextet No 1 in B-flat major","4. Rondo: Poco Allegretto e grazioso","String Sextet","Carl Banner","harfesoft.de","OP18",661
2158,"Brahms","Horn Trio in E-flat major","1. Andante","Horn Piano Trio","European Archive","David Rothschild","OP40",482
2159,"Brahms","Horn Trio in E-flat major","2. Scherzo (Allegro)","Horn Piano Trio","European Archive","David Rothschild","OP40",466
2160,"Brahms","Horn Trio in E-flat major","3. Adagio mesto","Horn Piano Trio","European Archive","David Rothschild","OP40",446
